split,voxel_size,radius,tau_removed,tau_added,background_iou,removed_iou,added_iou,background_acc,removed_acc,added_acc,miou,oa
val,0.1,1,0.05,0.05,0.23901765597370517,0.04552072506818661,0.02292766980428756,0.23944352204627625,0.9764156332110121,0.8755583545420924,0.10248868361539311,0.258506982775335
val,0.1,1,0.1,0.1,0.6645726900076758,0.08052642203771823,0.049082558078088694,0.6674275101262751,0.9198495407098615,0.7357100192177364,0.2647272233744942,0.6723430318503314
val,0.1,1,0.15,0.15,0.7619910738513295,0.10740336933526967,0.06365730879450347,0.766050682328591,0.8803010878257075,0.7033644107411374,0.31101725066036756,0.7672657819912645
val,0.1,1,0.2,0.2,0.7757647251246095,0.11183271516564673,0.06630592393908613,0.7801479989961038,0.8689193248794815,0.6917428452708219,0.3179677880764475,0.7806638175568519
val,0.1,1,0.25,0.25,0.7766508886595339,0.11217252193399933,0.06641796818456305,0.7810633876582039,0.8674849688799385,0.6911325507712635,0.31841379292603206,0.7815238460012525
val,0.1,1,0.3,0.3,0.776651620739519,0.11217282879341818,0.06641759289415945,0.7810641798283938,0.8674849688799385,0.6911260582765872,0.31841401414236553,0.7815245464642305
val,0.15,1,0.05,0.05,0.1018559760083818,0.03790300266435578,0.02235332108683509,0.10190693368563296,0.9893756108705994,0.9711992936165161,0.05403743325319088,0.12597756613211059
val,0.15,1,0.1,0.1,0.5590316252525169,0.06595860515913557,0.038999615706265964,0.5609357114282428,0.932445640446261,0.7965901417960319,0.2213299487059728,0.5696284716346113
val,0.15,1,0.15,0.15,0.7944630576213666,0.1389045349196066,0.06404613714170401,0.7986990405018609,0.8817058258547584,0.7008258453227613,0.3324712432275591,0.7990172784603706
val,0.15,1,0.2,0.2,0.9033637980799432,0.21753440561661527,0.14018807828122867,0.9090927094777036,0.8403464456319484,0.6732457279384594,0.42036209399259566,0.9054101098662166
val,0.15,1,0.25,0.25,0.9143354056739158,0.2267044300778696,0.15582606316070738,0.9207963758933964,0.8124843976762243,0.6506778164441482,0.4322886329708309,0.9160890181974672
val,0.15,1,0.3,0.3,0.9150991116807146,0.224995150581868,0.1551978026650851,0.9218710627791269,0.799960227296734,0.639789902872238,0.43176402164255584,0.9168095144166483
val,0.2,1,0.05,0.05,0.041306071306592515,0.03659298201787681,0.020798495184001644,0.041318228808277145,0.9929043804977937,0.984353087830404,0.03289918283615699,0.06724591686120854
val,0.2,1,0.1,0.1,0.32101815370732767,0.04959588432830641,0.025054529809787732,0.32178140351673135,0.9544010188581445,0.8556199033916236,0.13188952261514061,0.3380138736499274
val,0.2,1,0.15,0.15,0.7213589875745804,0.09095904904875352,0.05851398568682617,0.7248952084865907,0.9006274778605289,0.7105321248636114,0.29027734077005335,0.7276494872050626
val,0.2,1,0.2,0.2,0.892860013923264,0.18986760477141032,0.14169427187896202,0.8982303278036248,0.855447379444246,0.6795564327636809,0.4081406301912121,0.8951628268220156
val,0.2,1,0.25,0.25,0.9166752846472493,0.2263145491190586,0.16641091641091366,0.9230449869850033,0.8167070740406605,0.654800550563506,0.4364669167257406,0.9183905294043144
val,0.2,1,0.3,0.3,0.9256571882690219,0.24002379905320848,0.17625547847633904,0.9328510457186616,0.785180860021207,0.6289863917311179,0.4473121552661898,0.9271280345457127
val,0.25,1,0.4,0.4,0.9406188119023845,0.2807918259340241,0.18931989548647915,0.9492137530827116,0.7282424273195851,0.5932127460655097,0.4702435111076293,0.941714755784983
val,0.25,1,0.45,0.45,0.9409836390682049,0.27725303868490214,0.18746111942431135,0.9499370044660388,0.7152612939667891,0.5791110476289033,0.46856593239247285,0.9420511881533212
val,0.25,1,0.5,0.5,0.9410796913113613,0.27439353896642066,0.18669022503887794,0.9502346444110046,0.7068370969311252,0.572813327793034,0.46738781843888666,0.942133282414344
val,0.3,1,0.35,0.35,0.9277504765175637,0.24059879896820494,0.17203167091968846,0.9357245350591115,0.747083687691163,0.6132096296680638,0.4467936488018191,0.9291220425052137
val,0.3,1,0.4,0.4,0.9433325426818061,0.26040300501973074,0.22159389214093458,0.9523046571325378,0.7107212822042239,0.5864215966342526,0.4751098132808238,0.9443578127399079
val,0.3,1,0.45,0.45,0.9613225772309362,0.30803697955327025,0.31884278221545603,0.9713318649378626,0.6760005585102721,0.558477899548086,0.5294007796665542,0.9619884658964183
val,0.35,1,0.45,0.45,0.9574913839904643,0.2649546185632877,0.3477621218400187,0.9677065340717793,0.6698230960933613,0.5448176907494582,0.5234027081312569,0.9582126202134557
val,0.4,1,0.45,0.45,0.9554137861462677,0.2520838611023747,0.3841423727270483,0.9651004381781375,0.6989164053938259,0.5479535656780405,0.5305466733252302,0.9561932554941508
val,0.5,1,0.5,0.5,0.9549986164857078,0.2221167410061985,0.4342777812835008,0.9658678350456805,0.6335791624883904,0.5361761803354973,0.5371310462584691,0.9557309499286643
val,0.4,1,0.35,0.5,0.9417621145122963,0.20490084355466018,0.42409048507460434,0.9504453616815031,0.771429659435618,0.5194904690177816,0.5235844810471869,0.9428322744201001
val,0.5,1,0.35,0.55,0.868518571881804,0.09314351002767411,0.42701639920473045,0.876899777148122,0.7557490596294049,0.5048044460603214,0.4628928270380695,0.8708796666244515
